Document_ID,Cleaned text,Sentiment
1,everi movi come truli make impact joaquin perform scenographi brillianc grotesqu haunt cringi hard watch time mesmer wont blink eye watch tragic serious funni moment emot rollercoast sometim multipl emot poppingup time far typic actionriddl predict superhero movi proper psycholog thrillerdrama singl best charact develop ever seen,Positive
2,movi felt alon isol truli relat understand motiv feel sorri charact lot peopl see movi think encourag violenc truli movi encourag everi one u becom better person treat everyon respect make feel like belong world instead make feel isol,Neutral
3,truli masterpiec best hollywood film 2019 one best film decad truli best film bring comic book chillingli realist real ife remark direct cinematographi music act peopl surpris find disturb violent necess messag societi reflect underappreciatedunrecognizedbulli peopl prove someth way show class differ corrupt rich talent rule other around exagger that make differ believ could multipl joker live societi could shake around much bitter way film show make peopl uncomfort peopl consid wake call messag first film perfect film,Positive
4,joaquin phoenix give tour de forc perform fearless stun emot depth physic imposs talk without referenc heath ledger oscarwin perform dark knight wide consid definit liveact portray joker let talk fact everyon go stun phoenix accomplish mani thought imposs portray match potenti exce dark knight clown princ crime,Positive
5,time movi anticip like end fall short way short joker first time happi hype plea ignor complaint pernici violenc embarrass say least havent seen comic movi real ever deserv better class crimin phillip phoenix deliv dark joker dark fall love villain bad guy alway romant anyway,Positive
6,let start say joaquin phoneix doesnt get oscar movi oscar cancel phoneix amaz mightv heard everi review ever todd phillip best stori line take visual breathtak score omg score everi time score came felt uncomfort like someth horribl happen great inspir taxi driver king comedi add much movi got honest scene violent disturb honestli expect wayyyi violent controversi go overal movi great come oscar season need nomin best pictur screenplay cinematographi actor score director,Positive
7,get peopl hate polit messag peopl think need get empathi arthur mad come point never enjoy masterpiec joaquin phoenix todd phillip overdid movi actingmus cinematographi amaz plea enjoy movi without overthink,Positive
8,seen joker yesterday venic earli illfat screen troubl audio lead nearhour delay definit worth joker deserv present venic film festiv event regard cinema form art film far blockbust mere entertain movi film genr focus psych main charact slowli crumbl pressur societi thu joaquin phoenix wonder perform earn almost sure nomin oscar least take joker differ ledger id say equal good main differ might ledger joker ration act insan phoenix insan root despit movi superhero villain joker much superior movi genr id exclud dark knight trilog joker easili good nolan movi least close smallscal film distinct style cinematographi can not appreci set cinephil refer howev feel forc overli opress notabl similar scorses taxi driver king comedi also chaplin modern time somewhat referenc eager see noncomed effort todd phillip movi far probabl best 2019 worst contest far dolor gloria upon time hollywood convinc,Positive
9,sad joaquin miss oscar gladiat compel villain quit confid win joker damn movi keep u toe time unpredict storylin realli deep interest plot forget mention act damn niro joaquin teach u realli 5 star act enjoy movi get wine hand close curtain turn ur cellphon put disturb sign ur door best dark thriller suspens movi get experi,Positive
12,movi caus audienc consid mani topic moral particularli poor choic made joker joker relat movi antagonist usual think give realist view bad peopl usual 100 bad way societi often judg import know sympath joker toward begin movi need identifi threat begin make certain bad choic movi suitabl adult will pick apart think critic isnt light amus substanc make good arent abl ponder underli theme hand thought isnt best movi,Positive
13,movi affect way make physic pain experi good way,Neutral
14,act cinematographi sound design script phenomen movi triumph joaquin pheonix deserv oscar win tbh,Positive
15,need say everyth movi master everi singl way joker isnt awesom comic book movi awesom movi period offer easi answer unsettl question rais cruel societi declin joaquin phoenix fulli commit perform todd phillip master albeit loo reinvent dc sourc materi make joker film leav comic book fan nonfan alik disturb move right way,Positive
16,stop watch movi joaquin phoenix award oscar tremend act,Positive
17,quit reli critic review year ago notic movi critic rate low viewer rate high said point critic movi oh wrong went saw tonit mom went skeptic w low expect knew expect typic super hero movi got masterpiec went expect sheer boredom instead edg seat whole time action edg seat fear may say next edg seat see charact evolv know 1 villain batman beyond geniu joaquin phoenix true master perfect art consum charact may place dont care movi stori act direct effect everyon brought game jp definit deserv nod win role comparison jack nicholson heath ledger actor took charact differ level differ stori point differ point time comparison would feasibl fair actor embrac made come life geniu way,Positive
18,thought film good dont get hype person act amaz film good overal think masterpiec film year bit overus throughout review way dislik film thought realli good overhyp feel though lot 1010 review pure base fact alreadi amaz review peopl want carri prais joker film releas random guy situat dont think review would high mayb that point,Neutral
20,realli understand ten sure good movi good act nice shoot plot intrigu time realli long somewhat bore need doublecheck genr see drama crime drama thriller said would put mayb 90 drama rest thriller miss dialogu depth substanc plot realli somewhat crazi person becom bit crazier sure underton societi system mean charact peopl bring creat evil beast later want destroy everyth absolut think intrigu stori plot dialogu enough give ten worthi watch ye amaz,Neutral
21,went film expect alltim classic base review read end watch decent film overal phoenix outstandingso definit part feel like youv seen trailer youv seen movi best way describ film feel like 2 hour version trailer 2 hour rel common runtim felt lot longerwhich isnt good id say much rental theater movi kinda justeh,Negatiive
22,heard everyon say film year review flood 10 quit hype excit movi walk cinema felt hollow empti continu write let say film year real masterpiec cinematographi excel act incred that sidecharact bland overli dramat plot heavili reli plottwist film harsh actual fall flat face good point though phoenix phenomen score great cinematographi also incred plot great even plot hole scene left empti film year nope,Negative
23,opinion love joker perform cinematographi direct style build great stori act phoenix incred done great take icon charact wow commit loo weight role develop laugh,Positive
24,recur theme mani 10 star review tell lot movi audienc cant get movi review without toss one claim movi much better smarter superhero movi even base entir review around premis hate break kid your nowher near intellig grown think comic publish better b left behind grade school playground absolut relev qualiti movi opinion movi consid highli suspect your group got ta say movi also idea perfect film ever made realli need get look get live safe littl box watch superhero movi mainstream blockbust understand exposur theme like first time would seem new excit think agre probabl best dc comic relat movi last decad though that high bar meet cours joaquin phoenix talent actor stop take step back look thing joker inde present theme import societi neglect demon mental ill degre sometim creat monster everyon around seen come mile away hadnt busi look away avoid feel uncomfort unfortun remind u fact situat still exist movi realli say danc around import subject like hey kid class inequ never offer actual insight usual busi make forc batman refer drop cringey littl edgi moment like dont smile sign scene seem design sole someth hot topic print new tshirt everi singl plot twist telegraph far advanc lot u seen exact twist mani time wasnt impress perhap actual standalon movi instead shackl complet unnecessari tie batman univers could done someth interest theme dont get wrong dont problem superhero movi feel gratuit someon came idea pitch execut told sound great make batman movi somehow im sorri im movi tri tell halfheart yet deadseri speech mental ill modern societi simultan constantli remind technic superhero movi,Positive
26,hype see movi love trailer movi want watch cinema long time watch bore aesthet amaz music good stori execut meh perform joker good perform peopl rave drive mad either seen mani movi seen mani movi bang averag actual bore actual think leav half way bore mind regret watch overhyp confus right think good premis could much much sign great movi repeat view move joker move whatsoev would watch thought mayb peopl get paid write good review actual met peopl think best movi ever omggg movi bang averag way overhyp phoenix perform good stori execut bad feel never even touch higher spectrum perform could charact experienc seen wors life made feel hate word use snowflak plea get social medium live life real world,Negative
27,joaquin phoenix give heath ledger run money true stori popcorn fluff comic book flick take kid see movi shut ballot oscar joaquin take one home hand one best origin stori ever put downsid movi stand alon film sequel tie dc univers todd philip take joker one pure brillianc joaquin phoenix joker deserv didnt steal jack heath yet got tast,Positive
30,music intens realism perform stori perfect combin everyth never felt charact like joker could real saw phoenix show u joker societi show u power obtain philip hand perfect choic music camera angl light everi import factor overal expect stori perfect mani shock turn happen realli repres today societi first screen would applaud 80 min 8,Positive
31,say write great exampl good act product valu can not save script steep tiresom stereotyp failur delv charact ident meet joker alreadi imbalanc socal descent mad realli coupl week away far descent stroll charact studi despit claim contrari showcas good actor overli contort bodi laugh manic mistaken express mad past influenc conflict semin moment creat spiral perhap realli relationship gone sour would justifi descent instead fait accompli lazi write focus fanci long shot joaquin phoenix danc crazili produc someth valu franchis,Neutral
32,beyond pathet taxi driverk comedi ripoff borefest object singl worstcomplet nonexist version joker charact histori trollworthi masterpiec review dictionari definit proof easi fool laughabl clueless sheep keep cri societi cringey loser incel,Positive
33,perfect portrait declin insan joaquin phoenix portray flawlessli perform lifetim choreograph impecc todd phillip noth short breathtak cinematographi backdrop ideolog origin film complex charact compliment superb soundtrack act hauntingli beauti film defin 1010 edit bring part 2 plssssss want,negative
34,realli slow pace bore overhyp opinion,negative
35,phoenix convinc alway meant joker movi went beyond expect mani emot went coupl hour think rate r phoenix abl unlock joker full psychot potenti charact meant amaz stori call mean build second movi mayb one batman hope high point nevertheless brilliant goddamn movi best joker ever play hand,Positive
36,pool need money need digniti respect coz take human dont money remind good boy like politician feel frustrat peopl lower class accept fund champion movi joker life begin get,Positive
37,expect masterpiec oscar worthi film hype actual didnt enjoy watch movi messag slow joker turn son schizophren went crazi slight amount bulli dont see anyon could relat charact laugh lame act way overdon im stun 910 rate right hell,negative
39,thought movi complet utter garbag dont understand peopl like movi much charact doesnt even stay true comic director flat said didnt made seem like part gotham fall littl boy laugh problem hate,negative
40,1010 amaz stori brilliant take magnific cinematographi someon step safe game play superhero movi joker movi also boy movi gritti real insan dark sometim quit disturb peopl dont want accept what shown movi terribl realiti face everyday refus proper care normal peopl start compar movi one greatest like dark knight act wise heath ledger potray joker wouldnt say movi better otherwis stand tall amongst greatest like godfath taxi driver citizen kane dark knight come inevit comparison who better joker heath joaquin answer phenomen job joker charact fortun play two greatest actor definit top contend oscar person think would take away 1best actor 2cinematographi 3origin score upon time hollywood lose makeup hairstyl categori would definit joker,Positive
43,whole point movi bring attent mental ill ill one better name bigger issu mental ill film bare focus lack qualiti mental healthcar film complet discredit messag one dimension depict world charact inhabit seem gotham citizen entir univers matter exist put arthur consid film isnt told arthur perspect blatantli stupid depict world reason peopl like much sad corpor slave especi youth current indoctrin subconsci trick believ part bigger caus realli sit comfi chair,Positive
44,joaquin portray sociopath mental unstabl man transform icon joker non grippingli accur realist touch rendit dark disturb charact piec led oscar worthi perform joaquin phoenix realli feel bad guy make heartbreak inevit becom clown princ crime know love although weve never seen like see suffer throughout movi point almost root himk becom mass murder psyco clown least make feel better happen wish could avoid e mess feel care time he joker wish couldv help there lot great nod greater batman univers yet movi self contain charact piec mark great movi act great plot similar taxi driver brilliant qualiti movi show dont need cgi super power great villain superhero movi joke everyon get movi rise joker 1010,Positive
45,one best movi year 100 oscar worthi joaquin phoenix deliv one best perform ive ever scene,Positive
46,dont wast 2 hour life movi baddest ive seen long time crappi write good storylineit bore went pay counter ask money back 2 hour torturethey cant peopl like peopl 1010 reason went your joke,Negative
47,wasnt titl makeup wouldnt know base comicbook charact first real joker weak unconfid pushov even genesi stage real joker high toler pain could fight intellig made danger due insan joaquin shoot guy subway cowardic tri make murray shoot scene way joaquin joker ever fill shoe badass joker comic even differ incarn differ comic authorsand forget even come close heath ledger portray call movi someth total differ forget tri make connect,Negative
48,dont understand high rate went cinema high expect discov movi slow anyth almost finish first kill happen dread time wait someth happen ye movi finish final walk got cosmic joke joker trust review leav disappoint disbelief actual paid watch,Neutral
49,serious unbeliev dare say better heath ledger joaquin phoenix doesnt win oscar best actor joker doesnt win least best screenplay one biggest oscar snub time,Positive
50,film mental ill specif mental ill call creativ diarrhoea serious though sooo much wrong movi wont even start knew joker sob stori hope artist success went went see anyway ill start point review observ even joker he suav he witti lethal gimmick morbid joke anarch isnt crimin mastermind he loser goe school shooter streak secondli said earlier film mental ill mockeri cash increas awar mental health one concept psychosi mental health problem judici explor movi ill caus suffer laugh inappropri situat serious your get downtrodden loner subject beat injustic design spark indign viewer go murder spree regard muchprais act mysteri anyon could come judgement phoenix theatric achiev base asinin script cant devot iota attent posit review im fairli confid largescal review rig go plot one dimension juvenil dialogu engag monoton nurseri rhyme charact develop shallow goof left right centr like revolv zero recoil 8 bullet arthur keep danc need see arthur fondl emaci much smoke watch mani closeup cigarett burn make wonder film sponsor tobacco industri two posit movi firstli final talk show scene litter though imperfect like rest movi sit littl le slouch seat also interest theori present tie joker batman bar set high dark knight director seek artist acclaim go near joker mani year come mayb ever hand joker charact render boon hollywood opportunist second time weve seen charact butcher low effort high budget money maker one forgotten quick dont know long joker recov,Negative
51,joaquín phoenix unconvinc laugh look like beaten dog brutali ennoy 5 minut world mean bad bad hit back chao anarchi whatev inspir bye clown kill 3 bulli stupid excess brutal name ye director hangov 3 dont want partir brutal bore,Negative
53,trailer movi may seem like potenti action pack movi movi clearli came theater intend progress charact studi shouldnt go movi expect intens action joker know past movi arthur fleck becom joker seen mani bad review bore slow movi believ utter perfect first part movi begin understand arthur person interact everyon life good bad whole point charact studi evolut far away one greatest evolut charact ever seen movi joaquin phoenix perform far best act seen movi possibl last decad see challeng person challeng societi complet break time joaquin isnt act evolv throughout movi anyon think doesnt put oscar win perform theyr ef mind ye movi slow start couldnt jump joker chao need know came begin whole compil movi amaz complet oscar deserv perform joaquin choreographi cinematographi score everyth perfect harmoni may lot controversi surround movi team put togeth perfect movi piti cant appreci tear sweat emot went make movi alway one side movi prefer marvel dc feel like marvel sooo much better overal movi dc put trash joker far away favorit comic movi even though take complet differ spin comic movi appreci evolut appreci movi action movi realli rip tear emot one movi ad wild suspens kick comic book movi done,Positive
54,incred ride almost motionless throughout watch awe perform lifetim transit troubl man monster hound score directli drove goosebump cinematographi made feel like fli gotham look arthur master de niro gave nod jerri lewi ignor dc ignor batman work art right,Positive
55,movi answer questionwhat joker real life charact great deep move stori life journey man who suffer psycholog issu neglect bulli rude human push man complet mad although accur comic book adapt tv seri movi yet fresh uniqu take charact clown princ crime realist approach believ joaquin phoenix amaz perform joker manag bring real life lookalik earli version joker although comic book accur feel decent foundat joker 2 true heart origin version lovabl villain movi great piec filmmak aspect plot interest believ mani relat act impress splendid direct outstand main take movi lack posit lead charact know live tough world full neg posit exampl shed light one two charact movi wouldv nice posit thought joker movi misunderstood mani think itll inspir crime violenc believ contrari mani go hard life feel sympathi joker charact other even relat miseri may justifi action believ movi meant wake call mani lot peopl daili suffer bulli racism hate crime neglect sometim go wors take deeper look action know asid money author equal human treat one anoth way expect treat,Positive
57,joaquin phoenix produc one memor perform ever captur featur film earn hardwar accolad receiv stun disturb portay joker joaquin put virtuoso spotlight perform elev movi legendari statu credit director todd philip build tension throughout film captur nuanc joker tortur darksid slide derang violent insan keep film pace flow ontrack without unnecessari fill util appli variou camera lens shot angl light colorshu apertur set eg bokeh scene frame allow joaquin tap dark corner util uniqu act instinct develop charact phoenix act perform leav noth tabl keep score phoenix talli perfect 10 produc truli legendari perform transform film god know would anoth actor 910 perform film one easili forget,Negative
58,im keep short movi suck ye know there need build charact crap think import good movi goe get joker troubl man get frustrat dont need 2 hour movi tell crap give guy oscar perform throw movi trash right,Negative
59,joker liter achiev cinemat histori there doubt peopl compar endgam movi way complet differ endgam best genr talk joker say beauti present storylin direct screenplay peak great heath ledger smile earth,Negative
60,never left review titl good bad piec garbag regist imdb account vent opinion want 2 hour life back,Negative
61,review make film far better actual dont get wrong technic extrem well done phoenix perform realli quit extraordinari definit look oscar nomin despit excel write act direct film kinda bore moment sure disturb element butif watch would look mani time film lack isexcit final act excel felt like took forev get,Negative
62,realli dont understand mani peopl consid masterpiec simpli hate movi sinc first minut mayb sensibl feel empathi joker charact annoy screenplay annoy music nois music one worst movi seen last year dont save neither phoenix never like way laugh absolut aw laugh joker import take watch gotham see best joker even better jack nicholson heath ledger mile away rubbish,Positive
63,movi masterpiec absolut epitom dc movi dark emot thought provok action action action one best movi ive seen long time critic definit lost touch public ignor one favor watch rememb good one anoth dont know someon el go,Positive
